,source,target,cost,sid,tid
583,Thessalonica,Amphipolis,3.391,50389,50718
584,Poetovio,Savaria,4.547,50310,50343
585,Ptolemais,Euesperides,3.727,50320,50538
586,Automalax,Euesperides,9.548,50531,50538
587,Ravenna,Atria,2.729,50323,50502
588,Regium,Vibo Valentia,2.837,50326,50417
589,Salernum,Vibo Valentia,10.657,50335,50417
590,Roma,Forum Appii,2.402,50327,50720
591,Tarracina,Forum Appii,0.858,50378,50720
592,Saldae,Tubusuctu,0.906,50334,50394
593,Sitifis,Tubusuctu,3.107,50362,50394
594,Salona,Servitium,7.316,50336,50351
595,Satala,Trapezus,4.395,50342,50401
596,Scodra,x,0.453,50345,50749
597,Lissus,x,0.908,50469,50749
598,Ulpiana,x,5.584,50472,50749
599,Sebasteia,Phiara,1.585,50347,50443
600,Tabia,Phiara,6.6,50376,50443
601,Amaseia,Phiara,5.394,50442,50443
602,Singidunum,Viminacium,2.58,50356,50419
603,Taliata,Viminacium,3.552,50375,50419
604,Tibiscum,Viminacium,5.418,50392,50419
605,Tingi,Volubilis,8.002,50396,50426
606,Lugdunum,Augustonemetum,4.953,50429,50444
607,Laodicea ad Lycum,Cibyra,3.133,50431,50436
608,Aginnum,Augustoritum,7.451,50435,50445
609,Cibyra,Xanthos,3.902,50436,50441
610,Patara,Xanthos,0.67,50440,50441
611,Cibyra,Attalea,4.747,50436,50447
612,Perge,Attalea,0.562,50437,50447
613,Phaselis,Attalea,1.744,50438,50447
614,Phaselis,Myra,2.338,50438,50439
615,Myra,Patara,2.506,50439,50440
616,Amaseia,Amisus,4.061,50442,50458
617,Iuliobriga,Portus Blendium,1.751,50463,50464
618,Krokodilopolis,Oasis Parva,8.32,50661,50690
619,Ammon,Oasis Parva,13.075,50682,50690
620,Mothis,Qasr Farafra,8.195,50678,50700
621,Oasis Parva,Qasr Farafra,5.952,50690,50700
